Exp,Site,Hole,Core,Type,Section,Recovered length (m),Curated length (m),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),Text ID of section,Text ID of archive half,Text ID of working half,Catwalk samples (no.),Section half samples (no.),Comments
117,730,A,23,X,5,1.5,1.5,216.6,218.1,216.349,217.786,SECT10815972,SHLF10815982,SHLF10815992,0,0,
117,730,A,23,X,6,1.5,1.5,218.1,219.6,217.786,219.223,SECT10816002,SHLF10816012,SHLF10816022,0,0,
117,730,A,23,X,7,0.44,0.44,219.6,220.04,219.223,219.644,SECT10816032,SHLF10816042,SHLF10816052,0,0,
117,730,A,23,X,CC,0.52,0.58,220.04,220.62,219.644,220.2,SECT10816062,SHLF10816072,SHLF10816082,0,0,6 CM TO PALEO (DB) CL CHANGED FROM 52 TO 58
117,730,A,24,X,1,1.5,1.5,220.2,221.7,220.2,221.67,SECT10816102,SHLF10816112,SHLF10816122,0,0,
117,730,A,24,X,2,1.5,1.5,221.7,223.2,221.67,223.139,SECT10816132,SHLF10816142,SHLF10816152,0,0,
117,730,A,24,X,3,1.5,1.5,223.2,224.7,223.139,224.609,SECT10816162,SHLF10816172,SHLF10816182,0,1,
117,730,A,24,X,4,1.5,1.5,224.7,226.2,224.609,226.079,SECT10816192,SHLF10816202,SHLF10816212,0,0,OG AT 120-145; IW AT 145-150
117,730,A,24,X,5,1.5,1.5,226.2,227.7,226.079,227.548,SECT10816222,SHLF10816232,SHLF10816242,0,0,
117,730,A,24,X,6,1.5,1.5,227.7,229.2,227.548,229.018,SECT10816252,SHLF10816262,SHLF10816272,0,0,
117,730,A,24,X,7,0.36,0.36,229.2,229.56,229.018,229.371,SECT10816282,SHLF10816292,SHLF10816302,0,0,
117,730,A,24,X,CC,0.49,0.54,229.56,230.1,229.371,229.9,SECT10816312,SHLF10816322,SHLF10816332,0,0,5 CM TO PALEO  (DB) CL CHANGED FRO 49 TO 54
117,730,A,25,X,1,1.5,1.5,229.9,231.4,229.9,231.4,SECT10816352,SHLF10816362,SHLF10816372,0,0,
117,730,A,25,X,2,1.5,1.5,231.4,232.9,231.4,232.9,SECT10816382,SHLF10816392,SHLF10816402,0,0,
117,730,A,25,X,3,1.5,1.5,232.9,234.4,232.9,234.4,SECT10816412,SHLF10816422,SHLF10816432,0,0,
117,730,A,25,X,4,1.5,1.5,234.4,235.9,234.4,235.9,SECT10816442,SHLF10816452,SHLF10816462,0,0,
117,730,A,25,X,5,1.5,1.5,235.9,237.4,235.9,237.4,SECT10816472,SHLF10816482,SHLF10816492,0,0,
117,730,A,25,X,6,1.5,1.5,237.4,238.9,237.4,238.9,SECT10816502,SHLF10816512,SHLF10816522,0,1,
117,730,A,25,X,7,0.35,0.35,238.9,239.25,238.9,239.25,SECT10816532,SHLF10816542,SHLF10816552,0,0,
117,730,A,25,X,CC,0.14,0.14,239.25,239.39,239.25,239.39,SECT10816562,SHLF10816572,SHLF10816582,0,0,5 CM TO PALEO
117,730,A,26,X,1,1.5,1.5,239.6,241.1,239.6,241.1,SECT10816602,SHLF10816612,SHLF10816622,0,0,
117,730,A,26,X,2,1.5,1.5,241.1,242.6,241.1,242.6,SECT10816632,SHLF10816642,SHLF10816652,0,0,
117,730,A,26,X,3,1.5,1.5,242.6,244.1,242.6,244.1,SECT10816662,SHLF10816672,SHLF10816682,0,0,
117,730,A,26,X,4,1.5,1.5,244.1,245.6,244.1,245.6,SECT10816692,SHLF10816702,SHLF10816712,0,0,
117,730,A,26,X,5,1.03,1.03,245.6,246.63,245.6,246.63,SECT10816722,SHLF10816732,SHLF10816742,0,0,
117,730,A,26,X,CC,0.22,0.22,246.63,246.85,246.63,246.85,SECT10816752,SHLF10816762,SHLF10816772,0,0,5 CM TO PALEO
117,730,A,27,X,1,1.5,1.5,249.2,250.7,249.2,250.7,SECT10816792,SHLF10816802,SHLF10816812,0,0,
